problem,m,iterations,runtime,grad_norm,converged,exit_code
random_quad_10,14,55,0.004515171051025391,9.074083966510247e-07,True,Convergence
random_quad_10,15,51,0.004296064376831055,6.706356846067423e-06,True,Convergence
random_quad_10,16,47,0.004056453704833984,1.3190201046897496e-06,True,Convergence
random_quad_10,17,52,0.004695892333984375,2.999056076254268e-06,True,Convergence
random_quad_10,18,43,0.0038602352142333984,5.832873109631161e-07,True,Convergence
random_quad_10,19,45,0.004288434982299805,1.304322639893313e-06,True,Convergence
random_quad_10,20,49,0.004801034927368164,3.549489324108594e-07,True,Convergence
random_quad_10,21,44,0.004266262054443359,1.155898091493243e-06,True,Convergence
random_quad_10,22,47,0.0047571659088134766,2.1167288092962404e-07,True,Convergence
random_quad_10,23,47,0.004864931106567383,1.8613604351565067e-07,True,Convergence
random_quad_10,24,46,0.00482630729675293,1.7315012664662315e-06,True,Convergence
random_quad_10,25,43,0.004578113555908203,1.0082072322089034e-06,True,Convergence
random_quartic_10,1,12,0.0006933212280273438,7.045440869007183e-20,True,Convergence
random_quartic_10,2,12,0.0005786418914794922,4.87026714291835e-16,True,Convergence
random_quartic_10,3,12,0.0006232261657714844,5.3873449255514184e-12,True,Convergence
random_quartic_10,4,12,0.0006730556488037109,3.6694877555638565e-10,True,Convergence
random_quartic_10,5,12,0.000690460205078125,9.284681615153884e-09,True,Convergence
random_quartic_10,6,13,0.0007960796356201172,4.4399308531210003e-10,True,Convergence
random_quartic_10,7,13,0.0008046627044677734,9.613062856521396e-11,True,Convergence
random_quartic_10,8,14,0.0008957386016845703,6.946557250893111e-11,True,Convergence
random_quartic_10,9,15,0.0009708404541015625,3.132005774556208e-11,True,Convergence
random_quartic_10,10,15,0.0010008811950683594,2.1610204935302434e-09,True,Convergence
random_quartic_10,11,16,0.0011754035949707031,2.1012888291101507e-10,True,Convergence
random_quartic_10,12,16,0.0011174678802490234,1.7815959736334446e-09,True,Convergence
random_quartic_10,13,16,0.0011112689971923828,6.9694399434435066e-09,True,Convergence
random_quartic_10,14,17,0.0012650489807128906,1.2668546933238148e-09,True,Convergence
random_quartic_10,15,17,0.0012891292572021484,2.1330402438988995e-08,True,Convergence
random_quartic_10,16,17,0.0012688636779785156,1.2683902630344003e-07,True,Convergence
random_quartic_10,17,17,0.0012712478637695312,1.2683902630344003e-07,True,Convergence
random_quartic_10,18,17,0.0012447834014892578,1.2683902630344003e-07,True,Convergence
random_quartic_10,19,17,0.0013060569763183594,1.2683902630344003e-07,True,Convergence
random_quartic_10,20,17,0.0013992786407470703,1.2683902630344003e-07,True,Convergence
random_quartic_10,21,17,0.0013811588287353516,1.2683902630344003e-07,True,Convergence
random_quartic_10,22,17,0.0013120174407958984,1.2683902630344003e-07,True,Convergence
random_quartic_10,23,17,0.0012454986572265625,1.2683902630344003e-07,True,Convergence
random_quartic_10,24,17,0.0012478828430175781,1.2683902630344003e-07,True,Convergence
